OID,fid_1,id,tree_cat,Name_Tree_,Photo,Descriptio,Date,in_avgtemp,in_avghum,ot_avgtemp,ot_avghum,tree_den,build_den,dis_to_bui,dis_to_wat,lat,long
-1,6293,26,10,sukhchain tree,C:\Users\jadoo\Downloads\nust_22.jpg,moraceae,17/02/2024 0:00,27.8071995,35.7000999,25.1935997,44.8825989,2664.969971,0,174.7550049,537.6290283,33.64498247,72.98296985
-1,6294,7,13,pilkhan,C:\Users\jadoo\Downloads\nust_3.jpg,moraceae,27/12/2023 0:00,27.8071995,35.7015991,25.2178993,44.7640991,2750.939941,0,163.6049957,524.2650146,33.64489315,72.98302815
-1,6295,7,13,pilkhan,C:\Users\jadoo\Downloads\nust_3.jpg,moraceae,27/12/2023 0:00,27.8071995,35.7036018,25.2432995,44.6328011,2750.939941,0,163.6049957,524.2650146,33.64488181,72.98310666
-1,6296,7,13,pilkhan,C:\Users\jadoo\Downloads\nust_3.jpg,moraceae,27/12/2023 0:00,27.8071995,35.7060013,25.2681999,44.5177994,2922.870117,0,154.2810059,517.1060181,33.64487568,72.98317776
-1,6297,7,13,pilkhan,C:\Users\jadoo\Downloads\nust_3.jpg,moraceae,27/12/2023 0:00,27.8071995,35.7060013,25.2681999,44.5177994,2922.870117,0,143.4190063,503.7309875,33.64486281,72.98322452
-1,6298,7,13,pilkhan,C:\Users\jadoo\Downloads\nust_3.jpg,moraceae,27/12/2023 0:00,27.8071995,35.7089005,25.2947006,44.3871002,2922.870117,0,143.4190063,503.7309875,33.64485482,72.98327344
-1,6299,7,13,pilkhan,C:\Users\jadoo\Downloads\nust_3.jpg,moraceae,27/12/2023 0:00,27.8071995,35.7122002,25.3218002,44.2564011,3180.77002,0,134.0310059,496.6380005,33.64485008,72.98332379
-1,6300,7,13,pilkhan,C:\Users\jadoo\Downloads\nust_3.jpg,moraceae,27/12/2023 0:00,27.8071995,35.7122002,25.3218002,44.2564011,3180.77002,0,134.0310059,496.6380005,33.64484515,72.98337017
-1,6301,7,13,pilkhan,C:\Users\jadoo\Downloads\nust_3.jpg,moraceae,27/12/2023 0:00,27.8071995,35.7159004,25.3493996,44.1258011,3266.73999,0,124.6559982,489.6260071,33.64480641,72.98345795
-1,6302,7,13,pilkhan,C:\Users\jadoo\Downloads\nust_3.jpg,moraceae,27/12/2023 0:00,27.8071995,35.7179985,25.3775005,43.9952011,3266.73999,0,124.6559982,489.6260071,33.64480276,72.98351461
-1,6303,7,13,pilkhan,C:\Users\jadoo\Downloads\nust_3.jpg,moraceae,27/12/2023 0:00,27.8071995,35.7190018,25.4043999,43.8860016,2321.100098,0,115.2979965,482.696991,33.6447897,72.98362344
-1,6304,7,13,pilkhan,C:\Users\jadoo\Downloads\nust_3.jpg,moraceae,27/12/2023 0:00,27.8071995,35.7173004,25.4335003,43.7560997,2493.040039,0,105.9609985,475.8569946,33.64479159,72.98372916
-1,6305,7,13,pilkhan,C:\Users\jadoo\Downloads\nust_3.jpg,moraceae,27/12/2023 0:00,27.8071995,35.7134018,25.4631004,43.6262016,2493.040039,0,95.2468033,462.4549866,33.64477892,72.98377989
-1,6306,7,13,pilkhan,C:\Users\jadoo\Downloads\nust_3.jpg,moraceae,27/12/2023 0:00,27.8076992,35.7074013,25.4932003,43.4964981,2407.070068,0,85.8216019,455.7049866,33.64477283,72.98386849
-1,6307,7,13,pilkhan,C:\Users\jadoo\Downloads\nust_3.jpg,moraceae,27/12/2023 0:00,27.8087006,35.6992989,25.5237999,43.3666992,2407.070068,0,85.8216019,455.7049866,33.64476431,72.983923
-1,6308,7,13,pilkhan,C:\Users\jadoo\Downloads\nust_3.jpg,moraceae,27/12/2023 0:00,27.8087006,35.6992989,25.5237999,43.3666992,2407.070068,0,76.4093018,449.053009,33.64472357,72.9839361
-1,6309,7,13,pilkhan,C:\Users\jadoo\Downloads\nust_3.jpg,moraceae,27/12/2023 0:00,27.8104992,35.6890984,25.5548,43.2370987,3094.800049,0,67.0154037,442.5050049,33.64471811,72.98405411
-1,6310,7,13,pilkhan,C:\Users\jadoo\Downloads\nust_3.jpg,moraceae,27/12/2023 0:00,27.8157005,35.662899,25.6182003,42.9780998,3868.5,0,57.6487999,436.0639954,33.64472129,72.98423614
